,country,forecast_2023,forecast_2024,forecast_2025,forecast_2026,forecast_2027,forecast_2028,forecast_2029,forecast_2030,forecast_2031,forecast_2032,forecast_2033,forecast_2034,forecast_2035,forecast_2036,forecast_2037,forecast_2038
0,Afghanistan,12.822650909423828,13.094021797180176,13.325919151306152,13.530004501342773,13.720682144165039,13.922178268432617,14.118610382080078,14.302064895629883,14.470108032226562,14.624835968017578,14.758698463439941,14.874982833862305,14.978594779968262,15.069219589233398,15.151034355163574,15.225767135620117
1,Africa,1432.55615234375,1440.75390625,1448.5169677734375,1455.2724609375,1461.1527099609375,1466.6905517578125,1471.7335205078125,1475.4830322265625,1479.3870849609375,1482.6190185546875,1485.5191650390625,1488.4112548828125,1489.9295654296875,1492.6962890625,1494.29931640625,1496.083740234375
2,Africa (GCP),1434.3663330078125,1442.99560546875,1451.053466796875,1458.1732177734375,1464.5001220703125,1470.3765869140625,1475.662353515625,1479.93017578125,1484.1492919921875,1487.765869140625,1491.0390625,1494.145263671875,1496.305419921875,1499.1964111328125,1501.19091796875,1503.230712890625
3,Albania,4.826024532318115,4.805624961853027,4.785769939422607,4.778764724731445,4.789482593536377,4.785584449768066,4.796200752258301,4.834692001342773,4.829498767852783,4.821004390716553,4.836850166320801,4.838887691497803,4.838333606719971,4.845203399658203,4.848047733306885,4.85314416885376
4,Algeria,184.4754180908203,186.23065185546875,187.66522216796875,188.82821655273438,189.76243591308594,190.5155487060547,191.12710571289062,191.62322998046875,192.03416442871094,192.38148498535156,192.66384887695312,192.8956756591797,193.09100341796875,193.26806640625,193.40171813964844,193.5169219970703
5,Andorra,0.3371043801307678,0.3115858733654022,0.2923077344894409,0.2780775725841522,0.2681885063648224,0.2607785165309906,0.2551862895488739,0.25091907382011414,0.2472892850637436,0.24409909546375275,0.24136750400066376,0.2384614199399948,0.23600135743618011,0.23509232699871063,0.23435650765895844,0.23356442153453827
6,Angola,15.086414337158203,14.769097328186035,14.84272289276123,15.34824275970459,16.068986892700195,17.45116424560547,19.173011779785156,20.960128784179688,23.12729835510254,24.603294372558594,25.536182403564453,26.05438995361328,26.05253791809082,25.487058639526367,24.880847930908203,23.755937576293945
7,Anguilla,0.14286735653877258,0.14355088770389557,0.14425162971019745,0.14475823938846588,0.14549507200717926,0.14633987843990326,0.1472609043121338,0.14802227914333344,0.14830441772937775,0.14859585464000702,0.1491565704345703,0.14959964156150818,0.14969508349895477,0.1498897820711136,0.15019957721233368,0.1504809707403183
8,Antarctica,,,,,,,,,,,,,,,,
9,Antigua and Barbuda,0.621289074420929,0.6236404776573181,0.6257004141807556,0.6277995705604553,0.629845142364502,0.6316260099411011,0.63327956199646,0.6346621513366699,0.6357537508010864,0.6366058588027954,0.637319803237915,0.6378847360610962,0.6381912231445312,0.6387996077537537,0.6396342515945435,0.6403323411941528
10,Argentina,182.21376037597656,182.22459411621094,182.05369567871094,182.01492309570312,182.05052185058594,182.1327362060547,182.20269775390625,182.26803588867188,182.42190551757812,182.57054138183594,182.6793212890625,182.65878295898438,182.58602905273438,182.25057983398438,182.35874938964844,182.55970764160156
11,Armenia,7.008109092712402,7.164750099182129,7.380110740661621,7.597622871398926,7.777706146240234,7.91934061050415,8.066266059875488,8.204168319702148,8.339991569519043,8.476969718933105,8.59228801727295,8.690117835998535,8.766860008239746,8.82353687286377,8.870397567749023,8.935162544250488
12,Aruba,0.9378149509429932,0.9626182317733765,0.988924503326416,1.0141057968139648,1.037750482559204,1.0449782609939575,1.045777440071106,1.0464378595352173,1.04709792137146,1.047224521636963,1.0470582246780396,1.0462909936904907,1.0453559160232544,1.0440317392349243,1.0419948101043701,1.039854884147644
13,Asia,21720.900390625,21951.58984375,22160.404296875,22345.056640625,22509.60546875,22661.181640625,22803.470703125,22935.681640625,23058.4375,23170.744140625,23270.064453125,23357.654296875,23436.666015625,23511.453125,23573.75390625,23630.373046875
14,Asia (GCP),18924.24609375,19133.177734375,19324.087890625,19492.390625,19640.408203125,19777.6875,19907.626953125,20030.6875,20147.7578125,20256.982421875,20353.95703125,20438.439453125,20513.837890625,20586.97265625,20647.12890625,20702.326171875
15,Asia (excl. China and India),7642.25439453125,7682.75537109375,7715.162109375,7741.69384765625,7763.46923828125,7782.04345703125,7796.67822265625,7808.20068359375,7817.67236328125,7825.31201171875,7832.294921875,7838.80029296875,7844.8837890625,7847.65869140625,7849.9580078125,7851.7763671875
16,Australia,395.92279052734375,395.8088073730469,396.0864562988281,396.1971435546875,396.2046203613281,396.5260314941406,396.05743408203125,394.80169677734375,394.4640808105469,395.36260986328125,397.0977783203125,399.39691162109375,401.6776123046875,401.9578857421875,401.1775207519531,400.82269287109375
17,Austria,62.153690338134766,61.291385650634766,60.7679557800293,59.982635498046875,59.341400146484375,58.85734939575195,58.38196563720703,58.090614318847656,57.7326774597168,57.36802673339844,56.94635009765625,56.662322998046875,56.35688400268555,56.23145294189453,56.010353088378906,55.908485412597656
18,Azerbaijan,38.587345123291016,39.02560043334961,39.36517333984375,39.61765670776367,39.816551208496094,39.97868347167969,40.11270523071289,40.225460052490234,40.32151794433594,40.40366744995117,40.47360610961914,40.53242874145508,40.577938079833984,40.62065505981445,40.652259826660156,40.680877685546875
19,Bahamas,2.0173187255859375,1.9762133359909058,1.9497461318969727,1.8904404640197754,1.8095722198486328,1.7944382429122925,1.7956024408340454,1.8051189184188843,1.8209898471832275,1.837985873222351,1.8676639795303345,1.8978780508041382,1.9334200620651245,1.9575351476669312,1.9776554107666016,2.0000271797180176
